coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$8.90,0002,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$8.90,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$8.90,7741,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$8.90,0011,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$8.90,0012,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,$2.00,1685,4,T R,1-2,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3101,$2.00,1689,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3401,$2.00,1665,4,M W,3-4,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3401,$2.00,1680,4,M W,5-6,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3802,$.50,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$2.00,101C,4,M W,3-4,GER,0122,FIN ACCOUNTING REP 2,"Zhou,Ying;",,,,
ACG,4111,$2.00,1010,4,M W,7-8,GER,0228,FIN ACCOUNTING REP 2,"Singh,Sonia R;",,,,
ACG,4341,$2.00,1045,4,T R,7-8,GER,0126,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,5005,$4.00,DEPT,2,T R,7-8,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,$4.00,4990,2,T R,5-6,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,$4.00,4991,2,T R,3-4,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5065,,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Asare,Stephen K;",,,,
ACG,5065,,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Garvin,Deborah R;",,,,
ACG,5065,,DEPT,3,,,WEB,,FINAN/MANAG ACCOUNTNG,"Kramer,Sandra S;",,,,
ACG,5075,$4.00,4992,2,T R,3-4,HGS,240,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,$4.00,DEPT,2,T R,5-6,HGS,240,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,$4.00,4994,2,T R,7-8,HGS,240,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5505,$4.00,11BA,2,T R,5-6,GER,0228,FIN REPORT GOV & NGOS,"Singh,Sonia R;",,,,
ACG,5505,$4.00,11BB,2,T R,7-8,GER,0228,FIN REPORT GOV & NGOS,"Singh,Sonia R;",,,,
ACG,5637,$6.00,11E6,3,M W,5-6,GER,0122,AUDITING 1,"Ege,Matthew;",,,,
ACG,5637,$6.00,3373,3,M W,7-8,GER,0126,AUDITING 1,"Asare,Stephen K;",,,,
ACG,6136,$4.00,11GC,2,T R,3-4,GER,0228,AC CONCEPTS/FIN REPOR,"Tucker,Jennifer Wu;",,,,
ACG,6136,$4.00,11GE,2,T R,5-6,GER,0228,AC CONCEPTS/FIN REPOR,"Tucker,Jennifer Wu;",,,,
ACG,6635,$4.00,09D6,2,M W,3-4,GER,0121,ISSUES AUDIT PRACTICE,"Knechel,W R;",,,,
ACG,6635,$4.00,09D7,2,M W,5-6,GER,0121,ISSUES AUDIT PRACTICE,"Knechel,W R;",,,,
ACG,6695,$4.00,111G,2,T R,5-6,GER,0121,COMPUTER ASSURANCE,"Reppenhagen,David A;",,,,
ACG,6695,$4.00,1128,2,T R,7-8,GER,0121,COMPUTER ASSURANCE,"Reppenhagen,David A;",,,,
ACG,7885,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 1,"Asare,Stephen K;Kirk,Marcus;Knechel,W R;Leiby,Justin;Madsen,Paul;Mayberry,Michael A;Reppenhagen,David A;Rupar,Katarzyna;Tucker,Jennifer Wu;Vincent,James D;",,,,
ACG,7886,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 2,"Tucker,Jennifer Wu;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
TAX,5005,$6.00,04CC,3,T R,3-4,GER,0229,INTRO FED INCOME TAX,"Mayberry,Michael A;",,,,
TAX,5005,$6.00,04CD,3,T R,5-6,GER,0229,INTRO FED INCOME TAX,"Watson,Val Lucas;",,,,
TAX,5005,$6.00,1494,3,T R,5-6,GER,0126,INTRO FED INCOME TAX,"Boyles,Jesse V;",,,,
TAX,6015,$4.00,1374,2,M W,5-6,GER,0121,TAX BUS ENTITIES 1,"Garvin,Deborah R;",,,,
TAX,6015,$4.00,1444,2,M W,7-8,GER,0121,TAX BUS ENTITIES 1,"Garvin,Deborah R;",,,,
TAX,6016,$4.00,1109,2,T R,7-8,GER,0228,TAX BUS ENTITIES 2,"Boyles,Jesse V;",,,,
TAX,6016,$4.00,1397,2,T R,9-10,GER,0228,TAX BUS ENTITIES 2,"Boyles,Jesse V;",,,,
TAX,6017,$4.00,113D,2,M W,3-4,GER,0229,TAX BUS ENTITIES 3,"Mayberry,Michael A;",,,,
TAX,6017,$4.00,113E,2,M W,5-6,GER,0229,TAX BUS ENTITIES 3,"Mayberry,Michael A;",,,,
ADV,3001,,2866,3,T,3-4,WEIM,1084,ADVERTISING STRATEGY,"Baer,James P;",R,4,WEIM,1084
ADV,3001,,5034,3,T,8-9,WEIM,1084,ADVERTISING STRATEGY,"Bakry,Amal Mohamed Gamal;",R,9,WEIM,1084
ADV,3008,,0052,3,T,3-4,MCCC,0100,PRINCIPLE OF ADVERTIS,"Weigold,Michael Fredrick;",R,3,MCCC,0100
ADV,3008,,1903,3,T,7,WEIM,1064,PRINCIPLE OF ADVERTIS,"DiPasquale,Dennis A;",R,7-8,WEIM,1064
ADV,3203,,1G88,3,T,5-6,FLG,0280,INTRO DESIGN/GRAPHICS,"Elias,Troy;",R,5,FLG,0280
ADV,3203,,5056,3,M,4-5,FAB,0105,INTRO DESIGN/GRAPHICS,"Kim,Soojin;",W,4,FAB,0105
ADV,3500,,1A41,3,M,6-7,WEIM,1084,ADVERTISING RESEARCH,"Kim,Junga;",W,6,WEIM,1084
ADV,3500,,11E5,3,M,4-5,FLG,0270,ADVERTISING RESEARCH,"Kim,Jihye;",W,4,FLG,0270
ADV,3502,$3.00,1B21,3,,,WEB,,ADVERTISING SALES,"Padovano,Robert;Pisani,Joseph R;",,,,
ADV,4101,$13.50,02D2,3,M,7-8,WEIM,1078,COPY & VISUALIZATION,"Baer,James P;",W,6-7,WEIM,2056
ADV,4101,$13.50,0618,3,T,3-4,WEIM,1074,COPY & VISUALIZATION,"Duke,Lisa Lee;",R,3-4,WEIM,3024
ADV,4101,$13.50,8306,3,M,3-4,WEIM,3020,COPY & VISUALIZATION,"Goodman,Jennifer Robyn Potter;",R,6-7,WEIM,2056
ADV,4101,$13.50,8883,3,W,8-9,WEIM,2056,COPY & VISUALIZATION,"Jewett,Adriane K;",R,8-9,WEIM,2050
ADV,4300,,1A30,3,T,8-9,FLG,0285,MEDIA PLANNING,"Zheng,Lu;",R,9,FLG,0285
ADV,4300,,7420,3,T,3-4,MAEB,0211,MEDIA PLANNING,"Asim,Mian M;",R,4,MAEB,0211
ADV,4400,$3.00,5526,3,,,WEB,,INTERNATNL ADVERTISNG,"Choi,Yunmi;",,,,
ADV,4800,$13.50,3523,3,T,5-7,WEIM,G030,ADVERTISING CAMPAIGNS,"Morris,Jon D;",,,,
ADV,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL PROBLEMS,"Pisani,Joseph R;",,,,
ADV,4930,,7040,3,W,3-5,WEIM,G030,GREAT IDEAS IN ADV,"Morris,Jon D;",,,,
ADV,4940,,DEPT,VAR,TBA,,,,ADVERTISING INTERNSHP,"Pisani,Joseph R;",,,,
AFA,2000,$18.15,09E4,3,,,WEB,,INTR AFRICAN AMER STU,"Adejumo,Vincen E;",,,,
AFA,2000,,5460,3,M W F,3,LIT,0235,INTR AFRICAN AMER STU,"Nunn,Patricia Hilliard;",,,,
AFA,3110,,087A,3,T,7,FAC,0120,AFR AM/BLK ATLN THGHT,"Harrison,Faye V;",R,7-8,FAC,0120
AFA,3360,,5276,3,M W F,3,TUR,2333,ARC AFRICAN-AMER LIFE,"McIlvoy,Karen Elizabeth;",,,,
AFA,3930,,0622,3,M,3-5,TUR,2336,AFRICAN AMER LIT 1,"King,Debra Walker;",,,,
AFA,3930,,1A20,3,M W F,4,LIT,0223,POLITICS OF BLK HAIR,"Nunn,Patricia Hilliard;",,,,
AFA,3930,,122D,3,T,5-6,TUR,2328,AFRICAN AMER LIT2,"Ongiri,Amy;",R,6,TUR,2328
AFA,3930,,123G,3,M W F,9,TUR,2354,ASIAN AM/AF AM INTRCT,"Schueller,Malini Johar;",,,,
AFA,3930,,13AE,3,M W F,4,TUR,2334,INTER HAITIAN CREO 1,"Hebblethwaite,Benjamin John;",,,,
AFA,3930,,139A,3,M,4,CSE,E221,RACE & GLOBAL CITIES,"Hosbey,Justin T;",W,4-5,CSE,E221
AFA,3930,,14HA,3,M W F,3,NRN,0331,MINORITIES IN AM. SOC,"Youakim,Claudia;",,,,
AFA,3930,,14HB,3,M W F,6,MAT,0016,AMERICAN FAMILIES,"Koropeckyj-Cox,Tatyana M;",,,,
AFA,3930,,16CG,3,T,2-3,WEIM,1076,PAN AFRICANISM,"Dunnavant,Justin P;",R,3,WEIM,1076
AFA,3930,,2452,3,T,4,MAT,0002,CIVIL RGHT & RELIGION,"Simmons,Gwendolyn Delores;",R,4-5,MAT,0013
AFA,4905,,DEPT,3,TBA,,,,INDIVIDUAL STUDY,"Davidson,James M;",,,,
AFA,4931,,064A,3,W,9-11,HPNP,G312,RACE LAW AND HEALTH,"Jenkins,Kevin A;",,,,
AFA,4931,,162E,3,M W F,5,MAT,0018,AFRICAN AMER POLITICS,"Austin,Sharon Denise;",,,,
AFA,4936,,5281,3,M,6-8,TUR,2341,AFRICAN-AM SEN SEM 1,"Nunn,Patricia Hilliard;",,,,
AFS,2002,,1G68,3,T,2-3,CSE,E221,AFRICAN EXPERIENCE,"Kane,Abdoulaye;",R,3,CSE,E221
AFS,3300,,131G,3,M W F,4,LIT,0221,POVERTY DEVLPMT AFRIC,"Odera,Levy Charles;",,,,
AFS,4330,,1F49,3,T,4,MAT,0003,WOMEN POLITICS AFRICA,"Leslie,Agness N;",R,4-5,MAT,0003
AFS,4935,,099A,3,T,2-3,WEIM,1076,PAN AFRICANISM,"Dunnavant,Justin P;",R,3,WEIM,1076
AFS,4935,,1G25,3,T,6,MAT,0115,AFRICN DEV/GENDER EQU,"Serra,Renata;",R,6-7,MAT,0115
AFS,4935,,13H5,3,M W F,5,NRN,0331,AFRICAN POLITICS,"Pankani Lindberg,Winifred V;",,,,
AFS,4935,,139B,3,M W F,6,TUR,L005,CULT ANT/AFRICA TODAY,"Burgen,Benjamin R;",,,,
AFS,5061,,1H83,1,TBA,,,,AFRICANA BIBLIOGRAPHY,"Reboussin,Daniel A;",,,,
AFS,6305,,16AF,3,T,1-3,LIT,0221,DEV THEORY & PRAC INT,"Schmink,Marianne C;Serra,Renata;",,,,
AFS,6357,,095A,3,T,7-9,MAT,0007,ANTHR HUMANITARIANISM,"Abramowitz,Sharon Alane;",,,,
AFS,6905,,DEPT,3,R,3-5,CBD,0224,CONSERVATION/DEV PRAC,"Barnes,Grenville;Galloway,Glenn;Rheingans,Richard D;",,,,
AFS,6905,,0460,3,W,7-9,MAT,0107,DEVELOPMENT ADMINS,"Galloway,Glenn;",,,,
AFS,6905,,097D,3,T,6,MAT,0115,AFRICN DEV/GENDER EQU,"Serra,Renata;",R,6-7,MAT,0115
AFS,6905,,DEPT,VAR,TBA,,,,SAHEL SEMINAR,"Villalon,Leonardo Alfonso;",,,,
AFS,6905,,1B30,3,T,4-6,CBD,0238,PROTECT AREAS MGMT AF,"Child,Brian Anthony;",,,,
AFS,6905,,1G72,3,W,5-7,MAT,0003,GLOBAL CONNECTIONS,"Kane,Abdoulaye;",,,,
AFS,6905,,DEPT,3,TBA,,,,SWAHILI SPECIAL TOPIC,"Lugano,Rose Sau;",,,,
AFS,6905,,DEPT,3,TBA,,,,DEVELOPMENT ADMINS.,"Galloway,Glenn;",,,,
ABE,2012C,,0127,3,M W,4,ROG,0110,INTRO BIOLOGICAL ENGR,"Leary,James Daniel;",M,8,ROG,0211
ABE,2012C,,03H5,3,M W,4,ROG,0110,INTRO BIOLOGICAL ENGR,"Leary,James Daniel;",M,9,ROG,0211
ABE,3612C,,0129,4,M W F,5,ROG,0129,HEAT/MASS TRANS BIOL,"Pelletier,William;",R,8-10,ROG,0129
ABE,4042C,,0128,2,T R,4,ROG,0110,BIOLOGICAL ENG DESN 1,"Scholtz,Richard V,III;",,,,
ABE,4171,,04HC,3,M W,6-7,ROG,0211,POWER/MACH BIOLOG SYS,"Burks,Thomas Francis;",,,,
ABE,4231C,$30.00,0490,4,M W F,4,ROG,0106,IRRIGA/DRAINAGE ENGR,"Scholtz,Richard V,III;",T,8-10,ROG,0151
ABE,4662,,8059,3,M W F,3,ROG,0283,QUANTIFICA BIOL PROC,"Correll,Melanie J;",,,,
ABE,4812,$15.00,0047,4,M W F,6,ROG,0110,FOOD ENGINEER UNIT OP,"Teixeira,Arthur A;",M,7-8,ROG,0110
ABE,4905,,DEPT,VAR,TBA,,,,INDUSTRIAL HYGIENE,"Correll,Melanie J;",,,,
ABE,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,"Leary,James Daniel;",,,,
ABE,4912,,DEPT,3,T,8-10,PUGH,170,INTEG PROD/PROC DES 1,"Leary,James Daniel;Welt,Bruce Ari;",,,,
ABE,4931,,4191,1,R,6,ROG,0129,PROFESSIONAL ISSUES,"Welt,Bruce Ari;",,,,
ABE,4932,,17HD,3,T,8,ROG,0211,ENV ISS WATER RESOUCE,"Graham,Wendy Dimbero;",R,8-9,ROG,0211
ABE,5442,,3754,3,T,4-5,ROG,0106,ADV PROCESS ENGINEER,"Pullammanappallil,P C;",R,5,ROG,0106
ABE,5643C,,0413,3,T R,3,ROG,0211,BIOLOGICAL SYS MODEL,"Kiker,Gregory A;",W,8-10,ROG,0211
ABE,5707C,,042G,3,T R,7,ROG,0106,AGRIC WASTE MANAGEMNT,"Pullammanappallil,P C;",R,8-10,ROG,0106
ABE,5815C,,1532,4,M W F,6,ROG,0110,FOOD/BIOPROC ENGR DES,"Teixeira,Arthur A;",M,7-8,ROG,0110
ABE,6252,,069E,3,M W F,6,ROG,0106,ADV SOIL & WATER MGMT,"Scholtz,Richard V,III;",,,,
ABE,6254,,0427,3,M W F,5,ROG,0106,SIMULA AG WATERSHED,"Munoz-Carpena,Rafael;",,,,
ABE,6931,,4190,1,M,7,ROG,0283,SEMINAR,"Scholtz,Richard V,III;",,,,
ABE,6933,,05C6,2,T,8-9,ROG,0283,GRANT WRITING,"McLamore,Eric;",,,,
ABE,6933,,157F,3,M,2-4,ROG,0211,DATA DIAGNOSTICS,"Huffaker,Ray G;",,,,
ABE,6933,,DEPT,VAR,TBA,,,,SPECIAL TOPICS,"Bucklin,Ray A;",,,,
ABE,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,"Bucklin,Ray A;",,,,
ABE,6971,,0141,VAR,TBA,,,,MASTERS RESEARCH,"Bucklin,Ray A;",,,,
ABE,7979,,0143,VAR,TBA,,,,ADVANCED RESEARCH,"Bucklin,Ray A;",,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ABE,7980,,9755,VAR,TBA,,,,DOCTORAL RESEARCH,"Bucklin,Ray A;",,,,
EGN,4912,,DEPT,VAR,TBA,,,,ENGINEERING RESEARCH,STAFF;,,,,
AEC,3030C,$7.20,0145,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;DiBenedetto,Catherine A;",M,4-5,ROL,0306
AEC,3030C,$7.20,0146,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;DiBenedetto,Catherine A;",M,4-5,ROL,0310
AEC,3030C,$7.20,0147,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;Newberry,Milton Garry III;",T,4-5,ROL,0306
AEC,3030C,$7.20,0148,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;Newberry,Milton Garry III;",T,4-5,ROL,0310
AEC,3030C,$7.20,0151,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;Newberry,Milton Garry III;",M,6-7,ROL,0310
AEC,3030C,$7.20,0152,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;Newberry,Milton Garry III;",M,6-7,ROL,0306
AEC,3030C,$7.20,0153,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;Spencer,Kendrick Leroy;",R,7-8,ROL,0306
AEC,3030C,$7.20,0154,3,T R,6,MCCC,0100,EFFECT ORAL COMMUNICA,"Andenoro,Anthony Clyde;Culbertson,Avery L;Spencer,Kendrick Leroy;",R,7-8,ROL,0310
