coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$8.32,0002,4,TBA,,,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$8.32,0011,4,TBA,,,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,$1.50,1685,4,T R,1-2,GER,0126,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3101,$1.50,1689,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3401,$1.50,03G4,4,M W,3-4,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3401,$1.50,1665,4,M W,5-6,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3802,$.70,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$1.50,1010,4,T R,7-8,GER,0126,FIN ACCOUNTING REP 2,"Singh,Sonia R;",,,,
ACG,4341,$1.50,1045,4,M W,9-10,GER,0126,COST MGMNT ACCOUNTING,"Wang,Kailong;",,,,
ACG,4970,$.80,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,$2.25,DEPT,2,T R,5-6,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,$2.25,4990,2,T R,7-8,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,$2.25,4991,2,T R,3-4,HGS,340,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5065,$3.25,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Asare,Stephen K;",,,,
ACG,5065,$3.25,DEPT,3,,,WEB*,,FINAN/MANAG ACCOUNTNG,"Asare,Stephen K;",,,,
ACG,5065,$3.25,DEPT,3,,,WEB*,,FINAN/MANAG ACCOUNTNG,"Knechel,W Robert;",,,,
ACG,5075,$2.25,4992,2,T R,5-6,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,$2.25,DEPT,2,T R,9-10,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
