coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ANG,6086,0,25362,3,Augusto Oyuela-Caycedo,Historical Ecology,T,9,LEI,0142,R,9-10,LEI,0142
ANG,6086,0,27323,3,Augusto Oyuela-Caycedo,Historical Ecology,T,9,,,R,9-10,,
WIS,6455,0,19870,3,Madan Oli,Wildlife Population Ecology,"M,W,F",3,TUR,L005,,,,
WIS,6455,0,26152,3,Madan Oli,Wildlife Population Ecology,"M,W,F",3,,,,,,
ZOO,6927,0,19473,1,Ellen Davis,Special Topics in Zoology: Practical Pedagogy,W,11-E1,,,,,,
ZOO,6927,0,19479,4,"Nicoletta Cellinese,Douglas Soltis,Pamela Soltis,Lucas Majure",Special Topics in Zoology: Principles of Systematice Bio,"M,W",3,,,F,3-5,FLG,0210
ZOO,6927,0,20593,2,Rebecca Kimball,Special Topics in Zoology: GRANT WRITING SEMINAR,M,6-7,LIT,0101,,,,
ZOO,6927,0,20767,3,Jose Ponciano Castellanos,Special Topics in Zoology: Statistical Ecology,"M,W,F",2,TUR,L007,,,,
ZOO,6927,0,26458,2,James Gillooly,Special Topics in Zoology: Writing Scientific Papers,F,6-7,PSY,0130,,,,
ZOO,6927,0,26619,2,John Burleigh,Special Topics in Zoology: Principles of Grad Trainining,T,5-6,PSY,0130,,,,
ZOO,6927,0,26689,3,Hua Yan,Special Topics in Zoology: Epigenetics and Human Disease,"M,W,F",5,TUR,L007,,,,
ZOO,6927,0,26760,1,Robert Holt,Special Topics in Zoology: Biodiverstiy Theory,R,7,BAR,0211,,,,
ZOO,6927,0,28884,3,"Matthew Gitzendanner,Brian Stucky",Special Topics in Zoology: AI in Biology,"M,W,F",7,,,,,,
ZOO,6927,0,29124,3,Carl Keiser,Special Topics in Zoology: Behavioral Drivers of Disease,M,3-4,,,W,3,,
ZOO,6927,0,31056,2,James Gillooly,Special Topics in Zoology,F,6-7,,,,,,
ZOO,6927,0,31518,3,Jose Ponciano Castellanos,Special Topics in Zoology: Statiscal Ecology,"M,W,F",2,,,,,,
ENV,6932,0,13067,3,Antarpreet Jutla,Special Problems in Environmental Engineering: ENV SIGNAL PROCESSING,T,7,,,R,7-8,,
