coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$1.00,0002,4,T R,3-4,STZ,0104,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$1.00,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$1.00,7741,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$1.00,0011,3,T R,7-8,STZ,0104,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$1.00,0012,3,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3481,,0014,3,M W F,1-2,GER,0126,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,3,GER,0121
ACG,3481,,0015,3,M W F,1-2,GER,0126,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,4,GER,0121
ACG,3481,,DEPT,3,M W F,7-8,GER,0121,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,9,GER,0121
ACG,3481,,DEPT,3,M W F,5-6,GER,0126,ACC INFO & BUS PROC 1,STAFF;,,,,
ACG,3481,,5634,3,M W F,3-4,GER,0126,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,5,GER,0121
ACG,3481,,5635,3,M W F,3-4,GER,0126,ACC INFO & BUS PROC 1,"Reppenhagen,David A;",F,6,GER,0121
ACG,3482C,,1308,4,M W F,3-4,GER,0126,ACC INFO & BUS PROC 2,"Kirk,Marcus;",F,1-2,GER,0121
ACG,3482C,,1315,4,M W F,3-4,GER,0126,ACC INFO & BUS PROC 2,"Kirk,Marcus;",F,5-6,GER,0121
ACG,3482C,,1323,4,M W F,5-6,GER,0126,ACC INFO & BUS PROC 2,"Kirk,Marcus;",F,3-4,GER,0121
ACG,3482C,,1338,4,M W F,5-6,GER,0126,ACC INFO & BUS PROC 2,"Kirk,Marcus;",F,7-8,GER,0121
ACG,3802,,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4133C,,5763,4,T RF,5-6,GER,0122,FINANCIAL ACCOUNTING,"Tucker,Jennifer Wu;",,,,
ACG,4133C,,5764,4,T RF,7-8,GER,0122,FINANCIAL ACCOUNTING,"Tucker,Jennifer Wu;",,,,
ACG,4352C,,5620,4,M W F,3-4,GER,0122,COST & MANAG ACCOUNT,"McDonald,Charles L;",,,,
ACG,4352C,,6010,4,M W,7-8,GER,0122,COST & MANAG ACCOUNT,"McDonald,Charles L;",F,9-10,GER,0122
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Desantiago,Dominigue A;",,,,
ACG,5005,,DEPT,2,T R,5-6,HGS,140,FINANCIAL ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,5075,,DEPT,2,T R,7-8,HGS,140,MANAGERIAL ACCOUNTING,STAFF;,,,,
ACG,5075,,DEPT,2,T R,3-4,HGS,140,MANAGERIAL ACCOUNTING,STAFF;,,,,
ACG,5505,$6.00,9574,2,T R,5-6,GER,0126,FIN REPORT GOV & NGOS,"Erenguc,Nurhan S;",,,,
ACG,5637,$6.00,2334,3,M W,7-8,GER,0126,AUDITING 1,"Tucker,Robert R;",,,,
ACG,5637,$6.00,3373,3,M W,5-6,GER,0122,AUDITING 1,"Tucker,Robert R;",,,,
ACG,6635,$6.00,1372,2,M W,3-4,GER,0121,ISSUES AUDIT PRACTICE,"Knechel,W R;",,,,
ACG,6635,$6.00,1373,2,M W,5-6,GER,0121,ISSUES AUDIT PRACTICE,"Knechel,W R;",,,,
ACG,6695,$6.00,1627,2,M W,3-4,GER,0121,COMPUTER ASSURANCE,"Asare,Stephen K;",,,,
ACG,6695,$6.00,1849,2,M W,5-6,GER,0121,COMPUTER ASSURANCE,"Asare,Stephen K;",,,,
ACG,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,"Desantiago,Dominigue A;",,,,
ACG,7885,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 1,"Asare,Stephen K;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
TAX,5005,$6.00,1494,3,T R,7-8,GER,0229,INTRO FED INCOME TAX,"Donohoe,Michael P;",,,,
TAX,5005,$6.00,5862,3,T R,5-6,GER,0121,INTRO FED INCOME TAX,"Boyles,Jesse V;",F,7-8,GER,0126
TAX,5005,$6.00,8712,3,T R,7-8,GER,0126,INTRO FED INCOME TAX,"Boyles,Jesse V;",F,9-10,GER,0126
TAX,6015,$6.00,1374,2,T R,1-2,GER,0122,TAX BUS ENTITIES 1,"Garvin,Deborah R;",,,,
TAX,6015,$6.00,1444,2,T R,3-4,GER,0122,TAX BUS ENTITIES 1,"Garvin,Deborah R;",,,,
TAX,6016,$6.00,1397,2,M W,5-6,GER,0228,TAX BUS ENTITIES 2,"Kramer,Sandra S;",,,,
TAX,6016,$6.00,7169,2,M W,3-4,GER,0228,TAX BUS ENTITIES 2,"Kramer,Sandra S;",,,,
TAX,6726,$6.00,1404,2,T R,1-2,GER,0122,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
TAX,6726,$6.00,1415,2,T R,3-4,GER,0122,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
