coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
FAS,6932,0,14614,4,Vincent Lecours,Special Topics in Fisheries and Aquatic Sciences: SPATIAL SCIE/MAR ENVI,W,7-9,CSE,E222,R,3,,
FAS,6932,0,14615,3,William Patterson,Special Topics in Fisheries and Aquatic Sciences: BIOLOGY OF FISHES,,,,,,,,
FAS,6932,0,14616,3,Nicholas Funicelli,Special Topics in Fisheries and Aquatic Sciences: MARINE PROTECTED AREA,,,,,,,,
FAS,6932,0,14617,3,"Michael Kutyna,Douglas Marcinek,Lawrence Meyer",Special Topics in Fisheries and Aquatic Sciences: Research Divemaster,R,E1-E2,POOL,0002,,,,
FAS,6932,0,14618,3,Nicholas Funicelli,Special Topics in Fisheries and Aquatic Sciences: MARINE PROTECTED AREA,,,,,,,,
FAS,6932,0,14619,3,Lindsey Reisinger,Special Topics in Fisheries and Aquatic Sciences: FRESHWATER ECOLOGY,"M,W,F",7,,,,,,
FAS,6932,0,14644,3,Frank Asche,Special Topics in Fisheries and Aquatic Sciences: FISH & AQUA:ECONOMICS,T,9,,,,,,
FAS,6932,0,14645,3,Frank Asche,Special Topics in Fisheries and Aquatic Sciences: FISH & AQUA:ECONOMICS,,,,,,,,
FAS,6932,0,14646,3,Frank Asche,Special Topics in Fisheries and Aquatic Sciences: FISH & AQUA:ECONOMICS,,,,,,,,
FAS,6932,0,27976,4,Vincent Lecours,Special Topics in Fisheries and Aquatic Sciences: SPATIAL SCIE/MAR ENVI,W,7-9,,,R,3,,
FAS,6932,0,28353,VAR,Lindsey Reisinger,Special Topics in Fisheries and Aquatic Sciences: Freshwater Ecology,,,,,,,,
FAS,6932,0,28354,VAR,Lindsey Reisinger,Special Topics in Fisheries and Aquatic Sciences: Freshwater Ecology,,,,,,,,
FAS,6932,0,28687,VAR,Kai Lorenzen,Special Topics in Fisheries and Aquatic Sciences: Fisheries Management,,,,,,,,
LAS,6938,0,15068,3,Joel Correia,Seminar in Modern Latin American Studies: Land politics IN LA,W,5-7,GRI,0376,,,,
LAS,6938,0,15069,3,Glenn Galloway,Seminar in Modern Latin American Studies: DEVELOPMENT ADMINS,W,2-4,GRI,0376,,,,
LAS,6938,0,15094,3,Glenn Galloway,Seminar in Modern Latin American Studies: CONSERVATION/DEV PRAC,R,6-8,GRI,0376,,,,
