coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$.50,0002,4,T R,7-8,STZ,0104,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$4.50,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$4.50,039F,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$.50,0010,4,T R,3-4,STZ,0104,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$4.50,0011,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,$2.00,04AA,4,T R,5-6,HGS,150,FIN ACCOUNTING REP 1,"Kirk,Marcus;",,,,
ACG,3101,$2.00,04AB,4,T R,3-4,HGS,150,FIN ACCOUNTING REP 1,"Kirk,Marcus;",,,,
ACG,3401,$2.00,04AC,4,M W,1-2,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,$2.00,04AE,4,M W,3-4,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,$.50,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$2.00,04AF,4,T R,3-4,GER,0228,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4111,$2.00,04AH,4,T R,7-8,GER,0121,FIN ACCOUNTING REP 2,"McDonald,Charles L;",,,,
ACG,4111,$2.00,04A0,4,T R,3-4,GER,0121,FIN ACCOUNTING REP 2,"McDonald,Charles L;",,,,
ACG,4341,$2.00,04A3,4,M W,3-4,GER,0122,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,4341,$2.00,04A4,4,M W,5-6,GER,0122,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,4341,$2.00,04A5,4,M W,7-8,GER,0122,COST MGMNT ACCOUNTING,"Vincent,James D;",,,,
ACG,4632,,DEPT,3,T R,3-4,GER,0229,INTRO TO AUDITING,"Asare,Stephen K;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Desantiago,Dominigue A;",,,,
ACG,4970,$.50,DEPT,1,TBA,,,,HONORS THESIS,"Desantiago,Dominigue A;",,,,
ACG,5005,$3.00,6871,2,T R,3-4,GER,0126,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,$3.00,6883,2,T R,3-4,GER,0126,MANAGERIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5226,$3.00,04C7,2,M W,7-8,GER,0126,MERGERS CONSOL STATEM,"McDonald,Charles L;",,,,
ACG,5505,$3.00,043G,2,M W,7-8,GER,0126,FIN REPORT GOV & NGOS,"McDonald,Charles L;",,,,
ACG,5637,$4.50,0197,3,M W,3-4,GER,0126,AUDITING 1,"Leiby,Justin;",,,,
