coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$1.00,0002,4,T R,3-4,STZ,0104,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$1.00,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$1.00,7741,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$1.00,0011,4,T R,7-8,STZ,0104,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$1.00,0012,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,,1685,4,T R,1-2,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3101,,1689,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3401,,1665,4,M W,3-4,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3401,,1680,4,M W,5-6,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3802,$1.00,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4133C,$1.00,5763,4,M W F,5-6,GER,0122,FINANCIAL ACCOUNTING,"Tucker,Jennifer Wu;",,,,
ACG,4133C,$1.00,5764,4,M W F,3-4,GER,0122,FINANCIAL ACCOUNTING,"Tucker,Jennifer Wu;",,,,
ACG,4352C,$1.00,5620,4,T RF,7-8,GER,0122,COST & MANAG ACCOUNT,"Vincent,James D;",,,,
ACG,4352C,$1.00,6010,4,T RF,9-10,GER,0122,COST & MANAG ACCOUNT,"Vincent,James D;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Desantiago,Dominigue A;",,,,
ACG,5005,,4991,2,T R,7-8,HGS,140,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5075,,4992,2,T R,5-6,HGS,140,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,,DEPT,2,T R,3-4,HGS,140,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5075,,4994,2,T R,7-8,HGS,140,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5505,$5.00,9574,2,T R,3-4,GER,0121,FIN REPORT GOV & NGOS,"Erenguc,Nurhan S;",,,,
ACG,5637,$5.00,2334,3,M W,7-8,GER,0126,AUDITING 1,"Tucker,Robert R;",,,,
ACG,5637,$5.00,3373,3,M W,9-10,GER,0126,AUDITING 1,"Tucker,Robert R;",,,,
ACG,6387,$5.00,1438,2,T R,7-8,GER,0121,STRATEGIC COSTING,"Reppenhagen,David A;",,,,
ACG,6387,$5.00,1443,2,T R,5-6,GER,0121,STRATEGIC COSTING,"Reppenhagen,David A;",,,,
ACG,6657,$5.00,1472,2,M W,3-4,GER,0121,AUDIT CORP GOVERNANCE,"Falk,Christopher W;",,,,
ACG,6657,$5.00,1497,2,M W,5-6,GER,0121,AUDIT CORP GOVERNANCE,"Falk,Christopher W;",,,,
ACG,6695,$5.00,1627,2,T R,5-6,GER,0126,COMPUTER ASSURANCE,"Asare,Stephen K;",,,,
ACG,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
ACG,7885,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 1,"Asare,Stephen K;",,,,
ACG,7886,,1511,4,M W,5-6,GER,0229,ACCOUNTING RESEARCH 2,"Asare,Stephen K;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
ACG,7980,,2555,VAR,TBA,,,,DOCTORAL RESEARCH,"Asare,Stephen K;",,,,
TAX,5005,$5.00,1494,3,T R,7-8,GER,0126,INTRO FED INCOME TAX,"Boyles,Jesse V;",,,,
TAX,5005,$5.00,5862,3,T R,9-10,GER,0126,INTRO FED INCOME TAX,"Boyles,Jesse V;",,,,
TAX,6015,$5.00,1374,2,T R,1-2,GER,0122,TAX BUS ENTITIES 1,"Garvin,Deborah R;",,,,
TAX,6015,$5.00,1444,2,T R,3-4,GER,0122,TAX BUS ENTITIES 1,"Garvin,Deborah R;",,,,
TAX,6016,$5.00,1397,2,M W,3-4,GER,0228,TAX BUS ENTITIES 2,"Kramer,Sandra S;",,,,
TAX,6016,$5.00,7169,2,M W,5-6,GER,0228,TAX BUS ENTITIES 2,"Kramer,Sandra S;",,,,
TAX,6726,$5.00,1404,2,T R,1-2,GER,0122,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
TAX,6726,$5.00,1415,2,T R,3-4,GER,0122,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
ADV,3001,,2866,3,T,3-4,FLG,0220,ADVERTISING STRATEGY,"Kim,Dae-hee;",R,4,FLG,0220
ADV,3001,,5034,3,T,7-8,FLG,0245,ADVERTISING STRATEGY,"Lee,Jaejin;Sutherland,John C;",R,7,FLG,0245
ADV,3008,,0052,3,T,3-4,MCCC,0100,PRINCIPLE OF ADVERTIS,"Weigold,Michael Fredrick;",R,3,MCCC,0100
ADV,3008,,1903,3,T,7,WEIM,1064,PRINCIPLE OF ADVERTIS,"DiPasquale,Dennis A;",R,7-8,WEIM,1064
