coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$4.00,0002,4,,,WEB*,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$4.00,0010,4,,,WEB*,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,$1.50,04AA,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 1,"Kirk,Marcus;",,,,
ACG,3101,$1.50,04AB,4,T R,5-6,GER,0126,FIN ACCOUNTING REP 1,"Kirk,Marcus;",,,,
ACG,3401,$1.50,04AC,4,M W,1-2,GER,0122,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,$1.50,04AE,4,M W,3-4,GER,0122,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,$.70,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$1.50,04AF,4,T R,5-6,GER,0121,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4111,$1.50,04AH,4,T R,7-8,GER,0126,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4341,$1.50,04A3,4,M W,3-4,GER,0126,COST MGMNT ACCOUNTING,"Vincent,James D;",,,,
ACG,4341,$1.50,04A4,4,M W,5-6,GER,0126,COST MGMNT ACCOUNTING,"Vincent,James D;",,,,
ACG,4632,$1.40,DEPT,3,M W,7-8,GER,0229,INTRO TO AUDITING,"Stice,Joseph H;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,4970,$.80,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,$2.25,DEPT,2,T R,5-6,HGS,140,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5005,$2.25,DEPT,2,T R,7-8,HGS,140,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,$2.25,DEPT,2,T R,5-6,HGS,340,MANAGERIAL ACCOUNTING,"Falk,Christopher W;",,,,
ACG,5075,$2.25,DEPT,2,T R,3-4,HGS,340,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5075,$2.25,DEPT,2,T R,7-8,HGS,340,MANAGERIAL ACCOUNTING,"Falk,Christopher W;",,,,
ACG,5226,$2.25,04C7,2,M W,5-6,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,5226,$2.25,12DE,2,M W,7-8,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,5637,$2.25,0197,2,M W,7-8,GER,0126,AUDITING 1,"Asare,Stephen K;",,,,
ACG,5647,$2.25,191G,2,M W,7-8,GER,0126,AUDITING 2,"Asare,Stephen K;",,,,
ACG,5815,$2.25,04C9,2,M W,5-6,GER,0122,ACCOUNTING REGULATION,"Rupar,Katarzyna;",,,,
ACG,5815,$2.25,4852,2,M W,7-8,GER,0122,ACCOUNTING REGULATION,"Rupar,Katarzyna;",,,,
ACG,6136,$2.25,2C57,2,M W,5-6,GER,0228,ACCOUNTING THEORY,"Tucker,Jennifer Wu;",,,,
ACG,6136,$2.25,2D60,2,M W,7-8,GER,0228,ACCOUNTING THEORY,"Tucker,Jennifer Wu;",,,,
ACG,6175,$2.25,2C58,2,M W,5-6,GER,0228,FIN REP & ANALYSIS,"Kirk,Marcus;",,,,
ACG,6175,$2.25,2D61,2,M W,7-8,GER,0228,FIN REP & ANALYSIS,"Kirk,Marcus;",,,,
ACG,6685,$2.25,2D44,2,M W,3-4,GER,0121,FORENSIC ACCOUNTING,"Asare,Stephen K;",,,,
ACG,6685,$2.25,2D45,2,M W,5-6,GER,0121,FORENSIC ACCOUNTING,"Asare,Stephen K;",,,,
ACG,6691,$2.25,2C61,2,M W,3-4,GER,0121,INTERNATIONAL AUDIT,"Knechel,W Robert;",,,,
ACG,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,"Laibson,John;",,,,
ACG,7885,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 1,"Asare,Stephen K;",,,,
ACG,7886,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 2,"Tucker,Jennifer Wu;",,,,
ACG,7887,,DEPT,3,TBA,,,,RESEARCH ANALYSIS,"Asare,Stephen K;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
ACG,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Asare,Stephen K;",,,,
TAX,4001,$1.40,DEPT,3,T R,7-8,GER,0228,INTRO FED INCOME TAX,"Singh,Sonia R;",,,,
TAX,5025,$2.25,2D48,2,T R,5-6,GER,0228,FEDERAL INCOME TAX 1,"Boyles,Jesse V;",,,,
TAX,5025,$2.25,2D49,2,T R,3-4,GER,0229,FEDERAL INCOME TAX 1,"Mayberry,Michael A;",,,,
TAX,5025,$2.25,2D50,2,T R,5-6,GER,0229,FEDERAL INCOME TAX 1,"Mayberry,Michael A;",,,,
TAX,5027,$2.25,2D51,2,T R,5-6,GER,0228,FEDERAL INCOME TAX 2,"Boyles,Jesse V;",,,,
TAX,5027,$2.25,2D52,2,T R,3-4,GER,0229,FEDERAL INCOME TAX 2,"Mayberry,Michael A;",,,,
TAX,5027,$2.25,2D53,2,T R,5-6,GER,0229,FEDERAL INCOME TAX 2,"Mayberry,Michael A;",,,,
TAX,5065,$2.25,4729,2,T R,7-8,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,5065,$2.25,5337,2,T R,9-10,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,6205,$2.25,2D64,2,M W,3-4,GER,0229,PARTNERSHIP TAXATION,"Mayberry,Michael A;",,,,
TAX,6205,$2.25,2D87,2,M W,5-6,GER,0229,PARTNERSHIP TAXATION,"Mayberry,Michael A;",,,,
TAX,6526,$2.25,4788,2,M W,7-8,GER,0121,INTERNATIONAL TAX,"Mcgill,Gary A;",,,,
TAX,6726,$2.25,1206,2,M W,7-8,GER,0121,EXEC TAX PLANNING,"Garvin,Deborah R;",,,,
ADV,3001,,08E1,3,M,6-7,WEIM,1070,ADVERTISING STRATEGY,"Morton Padovano,Cynthia R;",W,7,WEIM,1070
