coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,0002,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,,DEPT,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,,0010,4,TBA,,,,INTRO MANAGERIAL ACCT,"Schadewald,Michael;",,,,
ACG,2071,,DEPT,4,TBA,,,,INTRO MANAGERIAL ACCT,"Schadewald,Michael;",,,,
ACG,3101,$1.50,04AA,4,M W,3-4,GER,0121,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3101,$1.50,04AB,4,M W,5-6,GER,0121,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3401,$1.50,04AC,4,T R,3-4,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,$1.50,04AE,4,T R,5-6,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$1.50,04AF,4,T R,3-4,GER,0122,FIN ACCOUNTING REP 2,"Kirk,Marcus;",,,,
ACG,4111,$1.50,04AH,4,T R,5-6,GER,0122,FIN ACCOUNTING REP 2,"Kirk,Marcus;",,,,
ACG,4111,$1.50,1C01,4,T R,7-8,GER,0126,FIN ACCOUNTING REP 2,"Brown,Stephen V,Jr;",,,,
ACG,4341,$1.50,04A3,4,M W,7-8,GER,0122,COST MGMNT ACCOUNTING,"Impink,Johannes;",,,,
ACG,4341,$1.50,1C06,4,T R,9-10,GER,0126,COST MGMNT ACCOUNTING,"Wang,Kailong;",,,,
ACG,4632,$1.40,DEPT,3,M W,3-4,GER,0229,INTRO TO AUDITING,"Park,Hyun Jong;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,$2.25,DEPT,2,T R,7-8,STZ,0103,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5005,$2.25,DEPT,2,T R,3-4,HGS,340,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,$2.25,DEPT,2,M W,9-10,HGS,340,MANAGERIAL ACCOUNTING,"Wang,Kailong;",,,,
ACG,5075,$2.25,DEPT,2,M W,5-6,HGS,340,MANAGERIAL ACCOUNTING,"Wang,Kailong;",,,,
ACG,5075,$2.25,DEPT,2,M W,7-8,HGS,340,MANAGERIAL ACCOUNTING,"Wang,Kailong;",,,,
ACG,5226,$2.25,04C7,2,M W,3-4,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,5226,$2.25,12DE,2,M W,5-6,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,5505,$2.25,1D53,2,T R,7-8,GER,0229,GOVERNMENTAL ACTG,"Singh,Sonia R;",,,,
ACG,5505,$2.25,1346,2,T R,5-6,GER,0229,GOVERNMENTAL ACTG,"Singh,Sonia R;",,,,
ACG,5637,$2.25,0197,2,T R,9-10,GER,0121,AUDITING 1,"Ricci,Michael Anthony;",,,,
ACG,5647,$2.25,191G,2,T R,9-10,GER,0121,AUDITING 2,"Ricci,Michael Anthony;",,,,
ACG,5815,$2.25,04C9,2,M W,3-4,GER,0122,ACCOUNTING REGULATION,"Brown,Stephen V,Jr;",,,,
ACG,5815,$2.25,4852,2,M W,5-6,GER,0122,ACCOUNTING REGULATION,"Brown,Stephen V,Jr;",,,,
ACG,6175,$2.25,2C58,2,M W,5-6,GER,0229,FIN REP & ANALYSIS,"Kirk,Marcus;",,,,
ACG,6175,$2.25,2D61,2,M W,7-8,GER,0229,FIN REP & ANALYSIS,"Kirk,Marcus;",,,,
ACG,6385,,DEPT,2,T R,5-6,HGS,340,CONTROLLERSHIP,"Hinson,Lisa;",,,,
ACG,6685,$2.25,2D44,2,M W,5-6,GER,0229,FORENSIC ACCOUNTING,"Asare,Stephen K;",,,,
ACG,6685,$2.25,2D45,2,M W,7-8,GER,0229,FORENSIC ACCOUNTING,"Asare,Stephen K;",,,,
ACG,6691,$2.25,2C61,2,T R,5-6,GER,0126,INTERNATIONAL AUDIT,"Knechel,W Robert;",,,,
ACG,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
ACG,6935,,DEPT,2,T R,3-4,GER,0229,INTERMEDIATE SAS/WRDS,"Impink,Johannes;",,,,
ACG,6935,,196E,2,M W,5-6,GER,0126,AC FOR INCOME TAX,"Schadewald,Michael;",,,,
ACG,7885,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 1,"Tucker,Jennifer Wu;",,,,
ACG,7886,,DEPT,4,TBA,,,,ACCOUNTING RESEARCH 2,"Tucker,Jennifer Wu;",,,,
ACG,7887,,DEPT,3,TBA,,,,RESEARCH ANALYSIS,"Tucker,Jennifer Wu;",,,,
ACG,7979,,DEPT,2,TBA,,,,ADVANCED RESEARCH,"Knechel,W Robert;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Tucker,Jennifer Wu;",,,,
ACG,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Tucker,Jennifer Wu;",,,,
TAX,4001,$1.40,DEPT,3,T R,5-6,GER,0228,INTRO FED INCOME TAX,"Boyles,Jesse V;",,,,
TAX,5025,$2.25,1F56,2,M W,7-8,GER,0228,FEDERAL INCOME TAX 1,"Mayberry,Michael A;",,,,
TAX,5025,$2.25,2D48,2,M W,5-6,GER,0228,FEDERAL INCOME TAX 1,"Mayberry,Michael A;",,,,
TAX,5027,$2.25,1F67,2,M W,7-8,GER,0228,FEDERAL INCOME TAX 2,"Mayberry,Michael A;",,,,
TAX,5027,$2.25,2D51,2,M W,5-6,GER,0228,FEDERAL INCOME TAX 2,"Mayberry,Michael A;",,,,
TAX,5065,$2.25,4729,2,T R,7-8,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,5065,$2.25,5337,2,T R,9-10,GER,0122,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,6205,$2.25,2D64,2,T R,3-4,GER,0126,PARTNERSHIP TAXATION,"Mayberry,Michael A;",,,,
TAX,6526,$2.25,4788,2,M W,7-8,GER,0121,INTERNATIONAL TAX,"Mcgill,Gary A;",,,,
ADV,3001,,08E1,3,M,6-7,WEIM,1070,ADVERTISING STRATEGY,"Morton Padovano,Cynthia R;",W,7,WEIM,1070
ADV,3001,,1H29,3,M,11,WEIM,1070,ADVERTISING STRATEGY,"Kim,Eunice E;",W,1011,WEIM,1070
ADV,3001,,108E,3,M,8-9,WEIM,1070,ADVERTISING STRATEGY,"Clark,Lawrence Milton;",W,8,WEIM,1070
ADV,3001,,148C,3,,,WEB,,ADVERTISING STRATEGY,"Hughes,Robert;",,,,
ADV,3008,$1.20,11CC,3,,,WEB,,PRINCIPLE OF ADVERTIS,"Page,Kara Lowe;",,,,
ADV,3008,$1.20,25CG,3,TBA,,,,PRINCIPLE OF ADVERTIS,STAFF;,,,,
ADV,3008,$1.20,5632,3,T,3,WEIM,1064,PRINCIPLE OF ADVERTIS,"Weigold,Michael Fredrick;",R,3-4,WEIM,1064
ADV,3302,,09H0,3,W,6-8,WEIM,1090,GREAT IDEAS MKPL COM,"Morris,Jon D;",,,,
ADV,3500,,1B74,3,T,8,WEIL,0238,ADVERTISING RESEARCH,"Chung,Yoo Jin;",R,7-8,WEIL,0238
ADV,3500,,1C54,3,M,7-8,MAEB,0234,ADVERTISING RESEARCH,"Sahm,Brittani D;",W,7,MAEB,0234
ADV,3500,,136B,3,T,5-6,WEIM,1070,ADVERTISING RESEARCH,"Chen,Huan;",R,5,WEIM,1070
ADV,3500,,5082,3,M,3-4,WEIM,1076,ADVERTISING RESEARCH,"McDonald,Casey J;",W,3,WEIM,1076
ADV,3502,,084A,3,,,WEB,,ADVERTISING SALES,"Padovano,Robert;",,,,
ADV,4101,$1.60,0064,3,T,3-4,WEIM,2056,COPY & VISUALIZATION,"Baer,James Philip;",R,3,WEIM,2056
ADV,4101,$1.60,1H04,3,,,WEB,,COPY & VISUALIZATION,"Stude,Tyrone;",,,,
ADV,4101,$1.60,1H05,3,,,WEB,,COPY & VISUALIZATION,"Stude,Tyrone;",,,,
ADV,4101,$1.60,5106,3,M,8-9,WEIM,2056,COPY & VISUALIZATION,"Schroeder,April;",W,8,WEIM,2056
ADV,4101,$1.60,5374,3,M,1011,WEIM,2056,COPY & VISUALIZATION,"Schroeder,April;",W,10,WEIM,2056
ADV,4300,,1A50,3,T,5-6,WEIL,0279,MEDIA PLANNING,"Xiao,Min;",R,5,WEIL,0279
ADV,4300,,138B,3,M,5-6,WEIM,1076,MEDIA PLANNING,"Alpert,Jordan M;",W,5,WEIM,1076
ADV,4300,,8504,3,T,7,WEIM,1084,MEDIA PLANNING,"Starr,Walter J;",R,7-8,WEIM,1084
ADV,4400,,0469,3,,,WEB,,INTERNATNL ADVERTISNG,"Padovano,Robert;",,,,
ADV,4400,,12HH,3,M W,7-8,WEIM,2050,INTERNATNL ADVERTISNG,"Bashir,Aqsa;",,,,
ADV,4800,$13.50,08D8,3,R,4-6,WEIM,G030,ADVERTISING CAMPAIGNS,"Morris,Jon D;",,,,
ADV,4800,$13.50,1207,3,W,5-7,WEIM,G030,ADVERTISING CAMPAIGNS,"Starr,Walter J;",,,,
ADV,4800,$13.50,3416,3,T,10E1,FLG,0285,ADVERTISING CAMPAIGNS,"Starr,Walter J;",,,,
ADV,4910,,DEPT,VAR,,,WEB,,ADV UNDERGRAD RES,"Kelleher,Thomas A;",,,,
ADV,4930,,DEPT,3,T,7-8,WEIM,2050,STEM RESEARCH & APP,"Raup-Krieger,Janice;",R,8,WEIM,2056
ADV,4930,,DEPT,3,T,6,WEIM,2050,STEM RESEARCH & APP,"Raup-Krieger,Janice;",R,6-7,WEIM,2050
ADV,4930,,DEPT,3,R,6-8,WEIM,1074,ADVANCED CREATIVE FOX,"Goodman,Jennifer Robyn Potter;",,,,
ADV,4940,,DEPT,VAR,,,WEB,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
