coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$9.44,0002,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$9.44,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$9.44,7741,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$9.44,0011,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$9.44,0012,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,,1685,4,T R,1-2,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3101,,1689,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3401,,DEPT,4,M W,3-4,GER,0122,BUS PROC ACG INFO SYS,STAFF;,,,,
ACG,3401,,1665,4,M W,3-4,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3401,,1680,4,M W,5-6,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3802,,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,,1010,4,M W,9-10,GER,0126,FIN ACCOUNTING REP 2,"Singh,Sonia R;",,,,
ACG,4341,,1045,4,T R,7-8,GER,0126,COST MGMNT ACCOUNTING,"Wang,Xi;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,,DEPT,2,T R,7-8,HGS,250,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,4990,2,T R,5-6,HGS,250,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,4991,2,T R,3-4,HGS,250,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5065,,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Asare,Stephen K;",,,,
ACG,5065,,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Asare,Stephen K;",,,,
ACG,5065,,DEPT,3,,,WEB,,FINAN/MANAG ACCOUNTNG,"Knechel,W Robert;",,,,
ACG,5075,,4992,2,T R,7-8,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,,DEPT,2,T R,9-10,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,,4994,2,T R,5-6,HGS,250,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5505,,11BA,2,T R,5-6,GER,0228,GOVERNMENTAL ACTG,"Singh,Sonia R;",,,,
ACG,5505,,11BB,2,T R,7-8,GER,0228,GOVERNMENTAL ACTG,"Singh,Sonia R;",,,,
ACG,5637,,11E6,2,M W,5-6,GER,0122,AUDITING 1,"Leiby,Justin;",,,,
ACG,5637,,2C91,2,M W,7-8,GER,0126,AUDITING 1,"Leiby,Justin;",,,,
ACG,5637,,DEPT,2,M W,7-8,GER,0122,AUDITING 1,STAFF;,,,,
ACG,5647,,03EG,2,M W,7-8,GER,0126,AUDITING 2,"Leiby,Justin;",,,,
ACG,5647,,03E0,2,M W,5-6,GER,0122,AUDITING 2,"Leiby,Justin;",,,,
ACG,5647,,DEPT,2,M W,7-8,GER,0122,AUDITING 2,STAFF;,,,,
