coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$1.00,0002,4,T R,3-4,STZ,0104,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$5.00,0003,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$5.00,7741,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,$1.00,0011,4,T R,7-8,STZ,0104,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$5.00,0012,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,,1685,4,T R,1-2,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3101,,1689,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3401,,1665,4,M W,3-4,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3401,,1680,4,M W,5-6,GER,0126,BUS PROC ACG INFO SYS,"Reppenhagen,David A;",,,,
ACG,3802,$1.00,0420,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,,11H7,4,M W,9-10,GER,0126,FIN ACCOUNTING REP 2,"Singh,Sonia R;",,,,
ACG,4341,,09C3,4,T R,5-6,GER,0122,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,4341,,09C5,4,T R,7-8,GER,0122,COST MGMNT ACCOUNTING,"Kramer,Sandra S;",,,,
ACG,5005,,DEPT,2,T R,7-8,HGS,140,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,4990,2,T R,5-6,HGS,140,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5005,,4991,2,T R,3-4,HGS,140,FINANCIAL ACCOUNTING,"Madsen,Paul;",,,,
ACG,5065,,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Asare,Stephen K;",,,,
ACG,5065,,DEPT,3,TBA,,,,FINAN/MANAG ACCOUNTNG,"Garvin,Deborah R;",,,,
ACG,5065,,DEPT,3,,,WEB,,FINAN/MANAG ACCOUNTNG,"Kramer,Sandra S;",,,,
ACG,5075,,4992,2,T R,3-4,HGS,140,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
ACG,5075,,DEPT,2,T R,5-6,HGS,140,MANAGERIAL ACCOUNTING,"Impink,Johannes;",,,,
