coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ALS,5156,12.99,10361,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,12.99,10362,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10363,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10364,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
WIS,6455,0.0,21995,3,Madan Oli,Wildlife Population Ecology,"M,W,F",3,CSE,E119,,,,
ZOO,6927,0.0,17380,VAR,William Barbazuk,Special Topics in Zoology: SPECIAL TOPICS,,,,,,,,
ZOO,6927,0.0,17385,4,"Nico Cellinese,Lucas Majure,Pam Soltis,Douglas Soltis",Special Topics in Zoology: Principles of Systematice Bio,"M,W",3,CRR,0222,F,3-5,CRR,0222
ZOO,6927,0.0,18402,3,Jose Ponciano Castellanos,Special Topics in Zoology: Statistical Ecology,"M,W,F",6,BAR,0211,,,,
ZOO,6927,0.0,18687,3,Mathew Leibold,Special Topics in Zoology: BIODIVERSITY ECOLOGY,W,4-6,CRR,0222,,,,
ZOO,6927,0.0,23381,3,Matt Gitzendanner,Special Topics in Zoology: AI in Biology,"M,W,F",7,BAR,0211,,,,
ZOO,6927,0.0,28325,1,Constance Rich,Special Topics in Zoology: Trends in Development Bio,R,6,CRR,0221,,,,
ZOO,6927,0.0,28739,4,Gustav Paulay,Special Topics in Zoology: Invertebrate Biodiversity,"T,R",2-3,BAR,0211,T,11-E2,CRR,0120
ZOO,6927,0.0,28740,4,Gustav Paulay,Special Topics in Zoology: Invertebrate Biodiversity,"T,R",2-3,BAR,0211,W,8-10,CRR,0120
ZOO,6927,0.0,28741,4,Gustav Paulay,Special Topics in Zoology: Invertebrate Biodiversity,"T,R",2-3,BAR,0211,W,5-7,,
ZOO,6927,0.0,28855,1,Robert Holt,Special Topics in Zoology: Recent Biodiversity Theory,T,7,CRR,0221,,,,
ZOO,6927,0.0,29802,3,"Jonathan Bloch,Bruce Macfadden",Special Topics in Zoology: VERTEBR.PALEO FOSSIL RCRD EVO,"T,R",3-4,CRR,0221,,,,
ENV,6932,0.0,18889,3,Steven Laux,Special Problems in Environmental Engineering: SOLID WASTE SYSTEM DES,M,8-10,ROG,0129,,,,
ENV,6932,0.0,26411,3,Christine Angelini,Special Problems in Environmental Engineering: COASTAL POLICY LAB,M,11,BLK,0415,,,,
ENV,6932,48.0,28692,3,Antarpreet Jutla,"Special Problems in Environmental Engineering: Climate, Health, & Justice",T,3-4,WEIL,0273,R,3,WEIL,0273
ENV,6932,0.0,30386,VAR,Jane Smith,Special Problems in Environmental Engineering: Coast Resil and Eng w Nat,"M,W",9-10,,,,,,
FAS,6932,0.0,12366,3,"Charles Cichra,Daniel Canfield",Special Topics in Fisheries and Aquatic Sciences: Fish and Limnology,T,5,,,R,6-9,,
FAS,6932,0.0,12387,3,"Michael Kutyna,Douglas Marcinek,LAWRENCE MEYER",Special Topics in Fisheries and Aquatic Sciences: Scuba Instructor,,,,,,,,
FAS,6932,0.0,19611,3,Huiping Yang,Special Topics in Fisheries and Aquatic Sciences: App Aquacul Genetics,,,,,,,,
FAS,6932,18.0,19612,3,Huiping Yang,Special Topics in Fisheries and Aquatic Sciences: App aquacul Genetics,,,,,,,,
FAS,6932,0.0,19940,3,LINDSEY REISINGER,Special Topics in Fisheries and Aquatic Sciences: Global Change Freshwater Eco,T,3-4,FSN,0362,R,3,FSN,0362
FAS,6932,0.0,20077,3,Huiping Yang,Special Topics in Fisheries and Aquatic Sciences: App aquacul Genetics,,,,,,,,
FAS,6932,0.0,20931,2,"Katelyn Ludington,Shea Husband,Michael Kutyna,Douglas Marcinek",Special Topics in Fisheries and Aquatic Sciences: Science Diver,,,,,,,,
LAS,6938,0.0,14201,3,Jennifer Fuenmayor De Fernandez,Seminar in Modern Latin American Studies: Venezuela: De Chávez a Maduro,F,6-8,GRI,0376,,,,
LAS,6938,0.0,14205,3,Welson Tremura,Seminar in Modern Latin American Studies: APPLIED FIELDWORK ETHNO,,,,,,,,
LAS,6938,0.0,23751,3,Robert Walker,Seminar in Modern Latin American Studies: Seminar on Amazonia,M,3-5,GRI,0376,,,,
LAS,6938,0.0,23761,3,Christopher Busey,Seminar in Modern Latin American Studies: Education in Latin America,T,6-8,,,,,,
LAS,6938,0.0,23930,3,Susan Paulson,Seminar in Modern Latin American Studies: Power and Environment,W,5-7,GRI,0376,,,,
LAS,6938,0.0,24745,3,Jennifer Fuenmayor De Fernandez,"Seminar in Modern Latin American Studies: IA, Gobernanza, y Desarollo",,,,,T,7-9,GRI,0376
LAS,6938,0.0,24746,3,Jennifer Fuenmayor De Fernandez,Seminar in Modern Latin American Studies: La Diáspora Venezolana,,,,,W,8-10,MAT,0102
