coursePrefix,courseNum,title,subCategory
GLY,5827,Ground Water Geology,Natural Science
SWS,6262,Soil Contamination & Remediation,Natural Science
SWS,6448,Biogeochemistry of Wetlands,Natural Science
WIS,6934,Topics in Wildlife and Range Sciences: An Introduction to Tropical Ecology and Conservation,Natural Science
VME,6934,Topics in VME: Aquatic Animal Conservation Issues,Natural Science
AGR,5277C,Tropical Crop Production,Natural Science
AGR,5444,Ecophysiology of Crop Plants,Natural Science
AGR,5511,Crop Ecology,Natural Science
AGR,6233,Tropical Grassland Agroecosystems,Natural Science
AGR,6422C,Environmental Crop Nutrition,Natural Science
AGR,6932,Topics in Agronomy: Bioenergy Crops,Natural Science
ALS,5106,Food & the Environment,"Natural Science,Sustainability"
FNR,5335,Agroforestry,Natural Science
FOR,5161,Forest Productivity & Health,Natural Science
FOR,6340,Physiology of Forest Trees,Natural Science
GEO,5809,Geography of World Agriculture,Natural Science
WIS,6934,Topics in Wildlife and Range Sciences: Wildlife and Agriculture,Natural Science
ABE,5646,Biological and Agricultural Systems Simulation,"Natural Science,Research & Design"
ABE,5663,Advanced Applied Microbial Biotechnology,Natural Science
CHM,5224,Basic Principles for Organic Chemistry,Natural Science
CHM,5235,Organic Spectroscopy,Natural Science
CHM,5275,The Organic Chemistry of Polymers,Natural Science
CHM,6154,Chemical Separations,Natural Science
EES,5245,Water Quality Analysis,"Natural Science,Research & Design"
EES,5305C,Ecological and General Systems,Natural Science
EES,6007,Advanced Energy & Environment,"Natural Science,Sustainability"
EES,6145,Environmental Meteorology & Oceanography,Natural Science
EES,6208,Principles of Water Chemistry I,Natural Science
EES,6225,Atmospheric Chemistry,Natural Science
EES,6405,Environmental Toxicology,Natural Science
ENV,6508,Wetland Hydrology,Natural Science
ENV,6932,Special Problems in ENV: Stormwater Control Systems,Natural Science
FAS,6171,Applied Phycology,Natural Science
FAS,6932,Special Topics in FAS: Fish and Water Quality,Natural Science
GEO,6255,Climatology,Natural Science
GEO,6938,Selected Topics in Geography: Fluvial Morphology,Natural Science
GEO,6938,Selected Topics in Geography: Land Cover Use: Land Change,Natural Science
GIS,5306,GIS Applications in Environmental Systems,"Natural Science,Research & Design"
GLY,6075,"Global Climate Change: Past, Present, & Future",Natural Science
GLY,5241C,Geochemistry,Natural Science
HOS,5711,Phytochemicals in Food and Health,Natural Science
OCP,5293,Coastal Processes,Natural Science
OCP,6050,Physical Oceanography,Natural Science
SWS,5605C,Environmental Soil Physics,Natural Science
SWS,6932,Topics in Soils: Earth System Analysis,Natural Science
SWS,6932,Topics in Soils: Environmental Biogeochemistry,Natural Science
URP,6526,Special Topics: Geographical Genetics,Natural Science
FOR,5615,Forest Conservation & Management Policies & Issues,Social Science
FOR,6934,Topics in Forest Resources and Conservation: Natural Resource Policy & Economics,Social Science
FYC,6330,Theories of Community Development,Social Science
LAS,6290,Tropical Conservation and Development,Social Science
SYD,6517,Seminar in Environment and Society,Social Science
SYA,7933,Special Study in Sociology: Environmental Governance,Social Science
SYA,7933,Special Study in Sociology: Environmental Inequality and Justice,Social Science
SYA,7933,"Special Study in Sociology: Population, Migration, and Environment",Social Science
EVR,5705,Natural Resource Mangement and Innovation Systems,Sustainability
ABE,5707C,Agricultural Waste Management,Sustainability
AEB,5167,Economic Analysis in Small Farm Livelihood Systems,"Sustainability,Research & Design"
AEB,6453,Natural Resource and Environmental Economics,Sustainability
AEB,6933,Special Topics: Ecological Economics,"Sustainability,Research & Design"
AEB,6933,Special Topics: Economic Development of Latin America,Sustainability
AEC,5073,"Agriculture, Resources, People, and the Environment: A Global Perspective",Sustainability
AEC,6512,Program Development in Extension Education,Sustainability
AEC,6540,Agricultural and Natural Resources Communications Theory and Strategies,Sustainability
AGR,6932,Topics in Agronomy: Agricultural and Environmental Sustainability,Sustainability
AGR,6932,Topics in Agronomy: Sustainable Agriculture System Analysis,Sustainability
AOM,6932,Special Topics in AOM: Principles and Issues in Environmental Hydrology,Sustainability
ANG,5266,Economic Anthropology,Sustainability
ANG,5303,Women & Development,Sustainability
ANG,5702,Anthropology & Development,Sustainability
ANG,6930,Special Topics in Anthropology: Anthropology and the New Economy,Sustainability
ARC,6931,"Architecture, Energy, and Ecology",Sustainability
ARC,6934,European Approach to Sustainable Design,Sustainability
BCN,6580,High Performance Green Building Delivery System,Sustainability
BCN,6585,Principles of Sustainable Construction,Sustainability
BCN,6586,Construction Ecology and Metabolism,Sustainability
BCN,6641,Construction Value Engineering,Sustainability
EES,5307,Ecological Engineering,Sustainability
EES,6009,Ecological Economics,Sustainability
EES,6051,Advanced Environmental Planning & Design,Sustainability
EML,5455,Clean Combustion Technology,Sustainability
ENV,6932,Special Problems in ENV: Restoration Planning,Sustainability
ENV,6932,Special Problems in ENV: Adaptive Management: Water and Watershed Systems,Sustainability
ENV,6932,Special Problems in ENV: Green Engineering Design and Sustainability,Sustainability
EVR,6930,Sustainable Natural Resource Management,Sustainability
FAS,6355C,Fisheries Management,Sustainability
FOR,5615,Forest Conservation & Managment Policies and Issues,Sustainability
FOR,6628,Community Forest Management,Sustainability
FOR,6934,Topics in FOR: Education for Sustainability,Sustainability
FOR,6934,Topics in FOR: Field Skills for Forest Conservation,"Sustainability,Research & Design"
FYC,6302,Sustainable Community Development,Sustainability
GEA,6419,Seminar: South America,Sustainability
GEA,6466,Seminar on Geography of Amazonia,Sustainability
GEA,6468,Resource Utilization & Conservation in Latin America,Sustainability
GEB,6930,Special Topics: Competitive Strategies in Sustainability,Sustainability
GEO,6495,Environment and Behavior,Sustainability
GEO,6938,Special Topics: Economic Principles and Tools for Conservation Managers in the Tropics,Sustainability
GEO,6938,Special Topics: Land Use Land Cover Change,Sustainability
GEO,6938,Special Topics: Management of Protected Areas in Africa and the Americas,Sustainability
GEO,6938,Special Topics: Community Conservation and Rural Development in Africa,Sustainability
ICM,6680,Principles of International Sustainable Construction,Sustainability
INR,6039,International Political Economy,Sustainability
LAS,6290,Interdisciplinary Research and Practice for Social-Environmental Management,Sustainability
LAS,6291,Conservation and Development Skills: Impact of Conservation and Development Policy,Sustainability
LAS,6291,Conservation and Development Skills: Policy Reform in Conservation and Sustainable Development,Sustainability
LAS,6938,Seminar in LAS: Amazon Seminar,Sustainability
LAS,6938,Seminar in LAS: Tropical Resource,Sustainability
AFS,6905,Foundations of Economics for Sustainable Development,Sustainability
LAS,6938,Foundations of Economics for Sustainable Development,Sustainability
ANG,6930,Special Topics: Anthropology of Development in Latin America,Sustainability
LAS,6938,Special Topics: Anthropology of Development in Latin America,Sustainability
LAS,6938, People & Protected Areas,Sustainability
LAS,6940,Sustainable Development Practice,Sustainability
ALS,6046,Grant Writing for Master's and Doctoral Students,Research & Design
ANG,5485,Research Design in Anthropology,Research & Design
ANG,6091,Research Strategies in Anthropology,Research & Design
AEC,6767,Research Strategies in Agricultural Education & Communications,Research & Design
FNR,5608,Research Planning,Research & Design
FYC,6221,Grant Proposals for Community-Based Organizations,Research & Design
FYC,6800,Scientific Reasoning & Research Design,Research & Design
LAS,6293,Design and Methods of Research in Latin American Studies,Research & Design
WIS,5496,Research Design in Wildlife Ecology,Research & Design
ZOO,6927,Special Topics in Zoology: Quantitative Methods & Ecological Inference,Research & Design
ABE,5167,Economic Analysis in Small Farm Livelihood Systems,"Sustainability,Research & Design"
ABE,6106,Microeconomic Principles & Analysis,Research & Design
ABE,6182,Agricultural Risk Analysis & Decision Making,Research & Design
ABE,6553,Elements of Econometrics,Research & Design
ABE,6571,Econometric Methods I,Research & Design
ABE,6817,Survey Research Methods for Economics,Research & Design
ABE,6933,Special Topics: Ecological Economics,"Sustainability,Research & Design"
AEC,6552,Evaluating Programs in Extension Education,Research & Design
ALS,5032,Teaching in Colleges of Agricultural and Life Sciences,Research & Design
ALS,5932,Special Topics: Ecological Statistics and Design,Research & Design
ANG,6930,"Special Topics in Anthropology: Anthropology, GIS, and Human Ecosystems",Research & Design
AOM,5431,GIS & Remote Sensing in Agriculture & Resources,Research & Design
EDF,6475,Qualitative Foundations of Educational Research,Research & Design
EDF,7483,Qualitative Data Collection,Research & Design
ENV,6932,Special Problems in ENV: Field Methods in Adaptive Management,Research & Design
FAS,6337C,Fish Population Dynamics,Research & Design
FNR,5072C,Environmental Education Program Development,Research & Design
FOR,5435,Forest Information Systems,Research & Design
FOR,6156,Simulation Analysis of Forest Ecosystems,Research & Design
FOR,6172C,Tropical Forestry Field Course,Research & Design
FOR,6543,Valuation of Forest Resources,Research & Design
FOR,6943,Advanced Topics in Forest Biometrics,Research & Design
FYC,6802,"Advanced Research Methods for Family, Youth, and Community Sciences",Research & Design
GIS,5009C,Advanced Cartography,Research & Design
GIS,5028C,Advanced Air Photo Interpretation,Research & Design
GIS,5107C,Geographic Information Systems in Research,Research & Design
LAA,5331,Site Design Methods,Research & Design
LAS,6291,Conservation and Development Skills,Research & Design
LAS,6291,Communication and Leadership Skills for Development Practice,Research & Design
LAS,6292,Tropical Conservation and Development Research Methods,Research & Design
LAS,6938,Seminar in Modern LAS: Introduction to the Analysis of Latin American Data,Research & Design
MET,6752,Atmospheric Data Analysis,Research & Design
MMC,6421,Research Methods in Mass Communication,Research & Design
PHC,6000,Epidemiology Methods I,Research & Design
PHC,6011,Epidemiology Methods II,Research & Design
PHC,6050C,Biostatistical Methods I,Research & Design
PHC,6102,Introduction to Public Health Administrative Systems,Research & Design
PHC,6146,Public Health Program Planning and Evaluation,Research & Design
PHC,6251,Assessment and Surveillance in Public Health,Research & Design
PHC,6700,Social and Behavioral Research Methods,Research & Design
POS,6157,Community Analysis,Research & Design
POS,6757,Survey Research,Research & Design
SCE,6XXX,Environmental Education Methods and Materials,Research & Design
SWS,5721C,GIS in Land Resource Management,Research & Design
SWS,6722C,Soil-Landscape Modeling,Research & Design
SUR,5365,Digital Mapping,Research & Design
SUR,5385,Remote Sensing Applications,Research & Design
SUR,5425,Cadastral Information Systems,Research & Design
